input,output
"[S(y, f)] S(l, u) | S(k, f) | P(o, i) | S(u, k) | S(d, l) | S(y, d) | P(v, z)","[1, 1, 0, 1, 1, 1, 0]"
"[B(f, t)] B(x, l) | P(r, b) | B(o, t) | B(l, p) | B(f, x) | B(p, o) | P(z, j) | P(g, h) | S(k, e)","[1, 0, 1, 1, 1, 1, 0, 0, 0]"
"[S(p, x)] S(p, m) | S(o, x) | S(m, w) | P(c, f) | P(u, a) | S(w, o) | S(i, z) | B(j, t)","[1, 1, 1, 0, 0, 1, 0, 0]"
"[S(n, b)] S(i, b) | P(u, m) | S(k, y) | S(q, o) | S(o, i) | S(h, r) | S(n, q)","[1, 0, 0, 1, 1, 0, 1]"
"[B(n, x)] P(o, f) | B(n, g) | P(e, b) | B(z, x) | B(r, h) | B(h, z) | B(d, v) | S(s, m) | B(g, r)","[0, 1, 0, 1, 1, 1, 0, 0, 1]"
"[P(m, x)] P(b, t) | B(i, d) | B(r, z) | P(s, x) | P(o, q) | B(e, h) | P(y, s) | P(m, b) | P(t, y)","[1, 0, 0, 1, 0, 0, 1, 1, 1]"
"[B(k, h)] S(r, o) | B(k, q) | B(j, b) | B(b, h) | B(f, i) | S(p, n) | B(a, d) | B(q, j)","[0, 1, 1, 1, 0, 0, 0, 1]"
"[P(o, u)] P(y, v) | S(z, k) | P(v, i) | B(e, h) | S(t, s) | S(p, l) | P(i, u) | P(q, y) | P(o, q)","[1, 0, 1, 0, 0, 0, 1, 1, 1]"
"[S(w, x)] P(f, t) | P(y, c) | S(w, m) | S(m, l) | S(j, x) | S(g, b) | S(l, j)","[0, 0, 1, 1, 1, 0, 1]"
"[S(q, w)] S(q, j) | S(j, k) | S(a, l) | P(b, i) | S(k, w) | S(h, y) | B(e, r)","[1, 1, 0, 0, 1, 0, 0]"
"[P(c, j)] S(w, n) | P(d, q) | P(r, x) | P(c, b) | P(x, j) | B(y, l) | B(h, z) | P(t, r) | P(b, t)","[0, 0, 1, 1, 1, 0, 0, 1, 1]"
"[B(m, b)] B(r, t) | P(w, x) | B(p, i) | B(m, p) | B(i, v) | S(j, f) | B(v, b)","[0, 0, 1, 1, 1, 0, 1]"
"[B(g, u)] B(n, i) | B(b, e) | B(g, a) | B(a, n) | S(z, q) | B(i, u) | B(d, l) | S(s, m)","[1, 0, 1, 1, 0, 1, 0, 0]"
"[B(a, b)] B(a, q) | S(k, p) | S(v, t) | B(u, b) | B(q, u) | P(s, z)","[1, 0, 0, 1, 1, 0]"
"[B(k, u)] B(k, l) | P(q, x) | B(l, b) | B(r, e) | B(p, u) | B(b, p) | B(m, o)","[1, 0, 1, 0, 1, 1, 0]"
"[B(s, p)] B(s, e) | B(e, o) | B(x, p) | B(o, x) | B(l, r) | P(u, z)","[1, 1, 1, 1, 0, 0]"
"[P(w, i)] B(b, l) | B(f, z) | P(e, v) | P(w, j) | B(g, x) | P(j, e) | P(v, i)","[0, 0, 1, 1, 0, 1, 1]"
"[S(e, c)] S(w, y) | S(x, c) | S(v, x) | S(e, v) | S(l, s)","[0, 1, 1, 1, 0]"
"[S(k, x)] S(v, a) | B(t, m) | S(d, h) | S(b, x) | S(h, b) | S(k, d)","[0, 0, 1, 1, 1, 1]"
"[S(d, k)] P(o, a) | S(v, r) | S(t, k) | S(d, e) | S(e, t)","[0, 0, 1, 1, 1]"
"[S(o, k)] P(c, z) | S(n, k) | S(y, d) | S(o, y) | S(d, n) | B(h, v)","[0, 1, 1, 1, 1, 0]"
"[B(i, k)] B(o, k) | B(f, o) | S(j, b) | B(i, f) | P(r, x)","[1, 1, 0, 1, 0]"
"[S(h, s)] S(y, a) | S(a, u) | B(x, o) | S(h, b) | S(u, s) | S(b, y) | P(j, m)","[1, 1, 0, 1, 1, 1, 0]"
"[S(j, r)] S(z, e) | B(s, x) | B(v, o) | S(e, l) | S(l, r) | S(j, z)","[1, 0, 0, 1, 1, 1]"
"[S(a, g)] B(f, r) | S(k, w) | S(d, g) | S(a, k) | S(v, e) | S(w, d)","[0, 1, 1, 1, 0, 1]"
"[P(y, k)] B(g, b) | B(u, v) | P(w, k) | B(m, x) | P(q, c) | P(y, f) | P(f, w)","[0, 0, 1, 0, 0, 1, 1]"
"[S(z, c)] B(u, f) | S(y, c) | S(z, l) | S(l, y) | P(h, e) | S(w, b) | S(k, r)","[0, 1, 1, 1, 0, 0, 0]"
"[B(w, n)] B(w, d) | B(f, z) | B(d, a) | B(a, n) | S(u, m)","[1, 0, 1, 1, 0]"
"[S(f, t)] S(n, m) | S(z, i) | S(m, z) | S(v, y) | S(i, t) | S(x, e) | S(f, n)","[1, 1, 1, 0, 1, 0, 1]"
"[S(l, k)] S(x, f) | S(l, p) | P(d, w) | S(p, a) | S(z, b) | S(b, k) | S(a, z) | P(m, u) | B(o, c)","[0, 1, 0, 1, 1, 1, 1, 0, 0]"
"[P(e, a)] S(m, x) | P(n, a) | P(k, n) | P(e, k) | B(w, t)","[0, 1, 1, 1, 0]"
"[S(q, f)] S(e, z) | S(r, f) | S(q, e) | P(b, t) | S(z, r) | B(n, j)","[1, 1, 1, 0, 1, 0]"
"[S(y, b)] S(y, x) | S(r, b) | P(l, a) | B(f, h) | S(k, u) | B(q, n) | S(x, r)","[1, 1, 0, 0, 0, 0, 1]"
"[B(j, m)] S(l, d) | P(c, a) | B(s, g) | B(g, m) | B(n, s) | B(j, n)","[0, 0, 1, 1, 1, 1]"
"[B(f, j)] B(a, j) | S(m, b) | B(f, c) | B(c, a) | B(t, l)","[1, 0, 1, 1, 0]"
"[P(k, t)] P(l, m) | P(m, d) | P(k, i) | B(b, c) | B(j, h) | P(i, l) | P(d, t)","[1, 1, 1, 0, 0, 1, 1]"
"[B(z, n)] B(h, x) | B(x, n) | S(s, b) | B(k, e) | P(r, f) | B(v, h) | B(j, v) | B(z, j)","[1, 1, 0, 0, 0, 1, 1, 1]"
"[P(b, y)] P(i, m) | P(b, i) | P(m, g) | P(g, y) | B(j, n) | P(c, h)","[1, 1, 1, 1, 0, 0]"
"[B(m, n)] P(j, t) | B(h, n) | B(m, u) | B(i, p) | P(e, a) | B(p, h) | B(u, i)","[0, 1, 1, 1, 0, 1, 1]"
"[B(c, x)] B(u, j) | S(w, v) | B(j, g) | S(y, d) | B(t, z) | B(g, x) | B(c, m) | B(a, e) | B(m, u)","[1, 0, 1, 0, 0, 1, 1, 0, 1]"
"[S(f, g)] P(h, c) | S(i, g) | S(l, i) | S(f, l) | P(r, p) | B(v, e) | S(z, j)","[0, 1, 1, 1, 0, 0, 0]"
"[S(i, j)] S(d, c) | P(y, e) | S(c, b) | P(p, g) | S(b, j) | B(h, m) | S(i, d)","[1, 0, 1, 0, 1, 0, 1]"
"[S(v, p)] S(v, x) | S(m, d) | B(b, o) | S(d, p) | S(x, m) | P(s, r)","[1, 1, 0, 1, 1, 0]"
"[B(c, m)] B(w, m) | S(k, s) | B(v, w) | B(c, v) | S(g, p) | S(l, y)","[1, 0, 1, 1, 0, 0]"
"[P(k, j)] P(t, n) | P(k, t) | P(n, m) | P(m, j) | B(p, l) | P(i, v) | B(d, a) | S(x, h)","[1, 1, 1, 1, 0, 0, 0, 0]"
"[S(m, n)] B(w, p) | S(s, z) | S(t, c) | S(m, t) | S(c, n)","[0, 0, 1, 1, 1]"
"[S(e, h)] S(u, q) | P(v, r) | S(c, m) | P(x, j) | S(e, u) | S(q, h) | P(d, s)","[1, 0, 0, 0, 1, 1, 0]"
"[B(v, n)] S(d, t) | B(y, x) | B(q, s) | B(s, n) | S(g, f) | B(v, q)","[0, 0, 1, 1, 0, 1]"
"[S(v, r)] P(t, f) | B(z, g) | B(u, o) | S(v, e) | S(m, r) | S(l, m) | B(y, i) | S(e, l)","[0, 0, 0, 1, 1, 1, 0, 1]"
"[P(x, w)] P(s, i) | P(x, s) | P(i, w) | S(o, q) | B(h, e) | B(c, t)","[1, 1, 1, 0, 0, 0]"
"[S(d, c)] S(h, c) | S(k, s) | P(m, b) | S(d, t) | S(t, f) | P(q, p) | S(f, h) | P(n, i)","[1, 0, 0, 1, 1, 0, 1, 0]"
"[S(e, k)] S(z, k) | P(q, b) | S(s, z) | P(j, w) | S(m, i) | S(t, s) | S(o, t) | S(e, o) | B(c, a)","[1, 0, 1, 0, 0, 1, 1, 1, 0]"
"[S(c, h)] S(k, t) | S(r, h) | P(a, s) | P(x, g) | S(t, r) | S(c, k) | S(e, w) | P(q, u)","[1, 1, 0, 0, 1, 1, 0, 0]"
"[S(v, t)] S(w, j) | S(j, t) | S(x, i) | S(u, w) | S(v, u) | S(g, m)","[1, 1, 0, 1, 1, 0]"
"[B(f, u)] B(r, y) | P(v, w) | B(f, r) | B(y, n) | S(b, a) | S(x, p) | B(n, u) | P(h, m)","[1, 0, 1, 1, 0, 0, 1, 0]"
"[B(n, r)] B(w, f) | B(s, c) | B(f, u) | B(g, w) | B(n, g) | B(u, r) | B(v, z)","[1, 0, 1, 1, 1, 1, 0]"
"[B(c, y)] B(k, y) | B(g, d) | B(n, m) | S(p, t) | P(r, w) | B(c, g) | B(d, k) | P(u, f)","[1, 1, 0, 0, 0, 1, 1, 0]"
"[P(n, i)] P(p, b) | P(c, p) | B(w, h) | P(e, o) | P(b, i) | P(n, c) | P(r, f) | B(q, s)","[1, 1, 0, 0, 1, 1, 0, 0]"
"[S(a, x)] S(r, c) | S(a, r) | P(l, b) | S(h, x) | B(p, s) | P(w, q) | S(c, h)","[1, 1, 0, 1, 0, 0, 1]"
"[B(z, b)] B(z, w) | B(w, q) | B(i, t) | P(u, k) | B(q, r) | B(r, b) | B(e, s)","[1, 1, 0, 0, 1, 1, 0]"
"[S(s, r)] B(y, d) | S(h, m) | S(x, h) | P(p, z) | S(s, x) | P(v, t) | S(m, w) | S(u, g) | S(w, r)","[0, 1, 1, 0, 1, 0, 1, 0, 1]"
"[S(y, d)] P(b, j) | S(n, l) | S(g, k) | S(l, e) | S(y, z) | B(m, a) | S(e, d) | S(z, n)","[0, 1, 0, 1, 1, 0, 1, 1]"
"[P(i, y)] P(b, c) | P(x, f) | P(i, x) | S(w, l) | S(d, m) | P(a, n) | P(f, y)","[0, 1, 1, 0, 0, 0, 1]"
"[B(d, i)] B(x, m) | B(k, n) | B(d, h) | B(b, k) | B(n, i) | B(h, b) | P(j, t)","[0, 1, 1, 1, 1, 1, 0]"
"[B(a, h)] B(e, h) | B(c, q) | B(y, e) | B(q, y) | P(g, r) | P(v, w) | B(a, c) | P(f, b)","[1, 1, 1, 1, 0, 0, 1, 0]"
"[P(z, p)] B(g, o) | S(d, b) | P(z, h) | P(j, r) | P(n, p) | P(h, n) | P(m, y)","[0, 0, 1, 0, 1, 1, 0]"
"[S(t, h)] S(v, x) | S(t, d) | S(o, b) | B(y, z) | S(u, o) | S(b, h) | S(d, u)","[0, 1, 1, 0, 1, 1, 1]"
"[B(v, n)] B(v, e) | B(e, z) | S(o, i) | S(b, q) | B(z, n)","[1, 1, 0, 0, 1]"
"[S(h, w)] P(s, e) | S(h, d) | S(d, o) | S(o, w) | B(z, u) | B(j, f)","[0, 1, 1, 1, 0, 0]"
"[P(x, p)] B(o, c) | P(x, e) | P(a, p) | P(e, a) | B(l, s)","[0, 1, 1, 1, 0]"
"[S(d, s)] B(t, u) | S(z, r) | S(d, z) | S(r, s) | B(v, b)","[0, 1, 1, 1, 0]"
"[S(g, o)] P(k, p) | S(w, c) | B(i, e) | S(g, w) | S(c, v) | S(v, o)","[0, 1, 0, 1, 1, 1]"
"[S(f, x)] P(c, p) | S(o, x) | B(d, r) | S(k, l) | S(f, k) | B(n, m) | S(h, o) | B(q, b) | S(l, h)","[0, 1, 0, 1, 1, 0, 1, 0, 1]"
"[B(z, g)] B(c, d) | B(d, i) | B(z, c) | S(m, w) | S(t, f) | B(i, g)","[1, 1, 1, 0, 0, 1]"
"[B(s, l)] B(v, x) | B(w, g) | B(z, d) | B(x, l) | B(t, v) | B(s, t)","[1, 0, 0, 1, 1, 1]"
"[S(z, u)] S(x, e) | B(f, i) | P(p, t) | P(j, m) | S(o, u) | S(b, x) | S(e, o) | S(w, g) | S(z, b)","[1, 0, 0, 0, 1, 1, 1, 0, 1]"
"[B(k, n)] B(s, n) | B(e, d) | S(q, z) | B(d, s) | B(k, e) | S(a, l)","[1, 1, 0, 1, 1, 0]"
"[P(f, b)] B(v, t) | S(g, h) | P(f, o) | P(d, l) | P(a, b) | S(s, n) | P(o, a)","[0, 0, 1, 0, 1, 0, 1]"
"[S(f, o)] S(p, k) | S(d, b) | S(b, o) | B(n, h) | P(x, m) | P(s, t) | S(f, d)","[0, 1, 1, 0, 0, 0, 1]"
"[P(v, w)] P(u, k) | P(z, w) | S(l, g) | P(n, z) | P(y, s) | B(c, r) | P(k, n) | P(d, x) | P(v, u)","[1, 1, 0, 1, 0, 0, 1, 0, 1]"
"[B(l, s)] P(p, z) | P(k, a) | S(m, h) | B(y, c) | B(v, e) | B(d, g) | B(c, v) | B(l, y) | B(e, s)","[0, 0, 0, 1, 1, 0, 1, 1, 1]"
"[S(m, o)] S(k, o) | S(m, s) | S(s, n) | S(n, b) | B(v, u) | S(w, i) | S(y, h) | S(b, k) | P(f, z)","[1, 1, 1, 1, 0, 0, 0, 1, 0]"
"[P(y, i)] P(y, c) | S(t, d) | B(z, v) | P(c, s) | P(s, i)","[1, 0, 0, 1, 1]"
"[B(j, i)] P(g, z) | B(s, r) | B(j, n) | B(n, s) | B(r, i) | S(f, a)","[0, 1, 1, 1, 1, 0]"
"[P(o, i)] P(o, r) | P(w, e) | P(s, g) | S(p, x) | P(k, i) | B(v, q) | P(c, k) | P(m, c) | P(r, m)","[1, 0, 0, 0, 1, 0, 1, 1, 1]"
"[P(x, j)] P(o, d) | B(k, n) | P(x, o) | P(r, j) | P(d, r) | B(t, f)","[1, 0, 1, 1, 1, 0]"
"[B(k, j)] S(g, i) | S(v, y) | B(w, j) | P(b, q) | B(x, w) | B(k, x)","[0, 0, 1, 0, 1, 1]"
"[B(l, g)] B(l, z) | P(y, w) | B(t, f) | B(d, g) | B(c, m) | B(z, d)","[1, 0, 0, 1, 0, 1]"
"[S(t, m)] S(f, o) | S(i, r) | S(o, k) | P(p, y) | S(t, f) | S(k, m)","[1, 0, 1, 0, 1, 1]"
"[B(a, q)] B(p, q) | B(a, z) | B(z, p) | P(d, m) | B(s, v)","[1, 1, 1, 0, 0]"
"[P(b, s)] P(t, s) | P(y, c) | P(b, o) | P(c, t) | B(g, e) | S(v, i) | P(o, y)","[1, 1, 1, 1, 0, 0, 1]"
"[B(m, g)] B(y, z) | B(z, u) | B(u, g) | B(f, b) | B(p, y) | S(x, e) | B(l, j) | B(m, p)","[1, 1, 1, 0, 1, 0, 0, 1]"
"[P(w, j)] B(l, p) | P(k, j) | P(g, s) | P(w, g) | S(b, c) | P(s, k) | S(z, u) | B(y, q)","[0, 1, 1, 1, 0, 1, 0, 0]"
"[B(c, n)] B(x, r) | B(c, o) | B(a, y) | S(k, q) | B(j, n) | B(f, p) | B(o, j)","[0, 1, 0, 0, 1, 0, 1]"
"[B(e, o)] B(p, y) | B(n, p) | B(y, o) | B(e, l) | B(a, u) | B(i, s) | B(l, n)","[1, 1, 1, 1, 0, 0, 1]"
"[P(q, g)] S(f, t) | P(o, r) | P(r, g) | B(z, x) | S(d, p) | B(u, l) | P(q, o)","[0, 1, 1, 0, 0, 0, 1]"
"[S(f, p)] P(l, u) | S(t, p) | S(e, d) | S(f, e) | S(j, t) | S(v, g) | S(d, j)","[0, 1, 1, 1, 1, 0, 1]"
"[S(p, b)] S(p, n) | S(u, w) | S(l, e) | P(g, z) | S(h, l) | S(e, b) | P(a, o) | S(n, h)","[1, 0, 1, 0, 1, 1, 0, 1]"
"[P(d, v)] P(h, g) | P(g, v) | P(d, h) | S(s, u) | P(q, w) | P(f, x)","[1, 1, 1, 0, 0, 0]"
"[S(j, x)] S(j, u) | S(z, b) | B(m, f) | B(i, v) | S(b, k) | S(k, x) | S(u, z)","[1, 1, 0, 0, 1, 1, 1]"
"[B(w, m)] B(w, f) | P(p, c) | B(f, g) | S(s, e) | B(g, m)","[1, 0, 1, 0, 1]"
"[S(j, m)] B(k, q) | B(w, i) | P(l, v) | S(a, m) | S(n, t) | P(d, z) | S(j, n) | S(t, a)","[0, 0, 0, 1, 1, 0, 1, 1]"
"[B(i, g)] B(b, q) | S(c, u) | B(x, m) | B(o, d) | B(d, g) | B(i, o) | P(f, n)","[0, 0, 0, 1, 1, 1, 0]"
"[B(a, z)] B(r, n) | B(a, r) | B(i, m) | S(t, l) | B(n, z)","[1, 1, 0, 0, 1]"
"[B(r, c)] S(s, l) | B(a, q) | B(z, c) | B(r, h) | B(h, v) | B(v, z)","[0, 0, 1, 1, 1, 1]"
"[S(r, u)] S(r, f) | S(t, u) | P(e, x) | P(n, k) | S(p, c) | S(c, t) | S(f, p)","[1, 1, 0, 0, 1, 1, 1]"
"[P(p, l)] P(s, a) | P(j, s) | P(p, j) | P(a, l) | S(y, k) | S(z, v)","[1, 1, 1, 1, 0, 0]"
"[S(q, t)] B(h, k) | S(j, t) | S(w, j) | S(m, f) | S(q, w) | S(v, l)","[0, 1, 1, 0, 1, 0]"
"[P(x, i)] P(x, e) | B(m, n) | P(o, h) | P(y, p) | P(b, a) | P(a, i) | P(e, b)","[1, 0, 0, 0, 1, 1, 1]"
"[P(n, a)] P(v, c) | P(h, a) | S(q, k) | P(c, h) | P(n, l) | P(l, v) | S(j, t) | S(o, w) | B(p, r)","[1, 1, 0, 1, 1, 1, 0, 0, 0]"
"[S(y, n)] S(x, k) | P(b, f) | B(o, c) | S(u, x) | S(t, u) | S(k, n) | S(y, t) | B(h, d) | P(q, a)","[1, 0, 0, 1, 1, 1, 1, 0, 0]"
"[P(z, f)] P(h, v) | S(l, r) | P(z, j) | S(q, u) | B(o, e) | P(j, h) | P(v, x) | P(x, f)","[1, 0, 1, 0, 0, 1, 1, 1]"
"[P(q, z)] B(r, o) | P(q, x) | P(n, z) | B(h, s) | P(e, n) | P(x, e) | P(i, k) | P(p, m)","[0, 1, 1, 0, 1, 1, 0, 0]"
"[B(s, u)] B(s, k) | P(e, a) | P(b, j) | S(m, t) | B(v, u) | B(k, v) | S(h, c)","[1, 0, 0, 0, 1, 1, 0]"
"[S(d, o)] S(r, i) | S(j, w) | S(d, j) | S(a, k) | P(b, g) | P(p, e) | S(w, o)","[0, 1, 1, 0, 0, 0, 1]"
"[B(s, c)] B(q, c) | B(l, x) | B(s, b) | S(z, t) | B(b, p) | B(p, q) | B(d, v) | S(w, o)","[1, 0, 1, 0, 1, 1, 0, 0]"
"[B(u, z)] S(c, e) | B(k, d) | B(u, s) | B(b, z) | S(i, o) | B(n, b) | B(m, n) | B(s, m)","[0, 0, 1, 1, 0, 1, 1, 1]"
"[P(h, l)] P(s, f) | P(f, l) | S(z, y) | S(b, m) | P(e, i) | P(i, s) | P(h, e) | P(v, q)","[1, 1, 0, 0, 1, 1, 1, 0]"
"[S(m, o)] P(k, g) | S(d, z) | S(c, i) | S(u, c) | S(m, u) | P(b, t) | P(a, e) | S(i, o)","[0, 0, 1, 1, 1, 0, 0, 1]"
"[S(j, m)] S(g, m) | S(j, p) | S(b, g) | S(p, y) | S(y, b) | P(w, a) | S(e, o)","[1, 1, 1, 1, 1, 0, 0]"
